四川,蜀,巴山,天府,蓉城,锦城,甜城,江阳,酒城,江城,月城,成都,乐山,雅安,广安,南充,自贡,泸州,内江,宜宾,广元,达州,资阳,绵阳,眉山,巴中,攀枝花,遂宁,德阳,九寨沟,峨眉山,乐山,都江堰,,,,
贵州,黔,贵阳,安顺,遵义,六盘水,铜仁,毕节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南,滇,春城,花城,彩云之南,昆明,玉溪,曲靖,昭通,保山,丽江,临沧,香格里拉,丽江,,,,,,,,,,,,,,,,,,,,,,,
陕西,陕,佟掌柜,黄土高坡,关中,窑洞,西安,咸阳,榆林,宝鸡,铜川,渭南,汉中,安康,商洛,延安,兵马俑,秦始皇陵,,,,,,,,,,,,,,,,,,,
甘肃,陇,河西走廊,兰州,白银,武威,金昌,平凉,张掖,嘉峪关,酒泉,庆阳,定西,陇南,天水,敦煌,莫高窟,,,,,,,,,,,,,,,,,,,,
青海,西宁,海东,青海湖,玉树,果洛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台湾,宝岛,台独,台巴子,台北,新北,台中,台南,高雄,酱紫,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,蒙古包,鹿城,呼和浩特,呼伦贝尔,包头,赤峰,乌海,通辽,鄂尔多斯,乌兰察布,,,,,,,,,,,,,,,,,,,,,,,,,,
广西,邕,南宁,贺州,柳州,桂林,梧州,玉林,钦州,防城港,河池,崇左,阳朔,,,,,,,,,,,,,,,,,,,,,,,,
西藏,藏独,日光城,拉萨,布达拉宫,酥油茶,青稞酒,哈达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏,塞上江南,银川,固原,青铜峡,石嘴山,吴忠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆,天山,乌鲁木齐,克拉玛依,和田,天山,切糕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,港独,占中,TVB,九龙,观塘,深水_,黄大仙,油尖旺,离岛,葵青,西贡,沙田,大埔,荃湾,屯门,元朗,维多利亚港,香江,,,,,,,,,,,,,,,,,,
澳门,澳,七子之歌,花地玛堂,圣方济各堂,圣安多尼堂,望德堂,风顺堂,_仔,嘉模堂,路环,圣方济各堂,,,,,,,,,,,,,,,,,,,,,,,,,
